temperatura,precipitacion,mes
25.098093,122.078186,01/08/1990
25.34708,103.05542,01/08/1991
25.200596,120.61359,01/08/1992
25.61621,131.24446,01/08/1993
25.79273,125.062454,01/08/1994
25.951727,180.81752,01/08/1995
25.440643,167.65446,01/08/1996
26.10763,97.45554,01/08/1997
26.21204,135.37985,01/08/1998
25.647198,131.07784,01/08/1999
25.333134,131.89035,01/08/2000
25.866388,109.19059,01/08/2001
25.876638,100.2292,01/08/2002
25.606197,117.25376,01/08/2003
25.668056,104.945885,01/08/2004
25.484625,128.8963,01/08/2005
25.737904,146.49715,01/08/2006
25.977713,153.73766,01/08/2007
25.496426,168.1639,01/08/2008
26.554111,101.04148,01/08/2009
26.201443,153.15523,01/08/2010
26.722778,133.24944,01/08/2011
26.431446,150.01466,01/08/2012
